Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit
Josh Jacobs,RB,LV,BUF,27,15.2,0.563,3 out of 5 stars,A
Hunter Renfrow,WR,LV,BUF,11,7.2,0.6545,4 out of 5 stars,F
Jesper Horsted,TE,LV,BUF,10,0.6,0.06,2 out of 5 stars,F
Zamir White,RB,LV,BUF,10,4,0.4,3 out of 5 stars,F
Tre Tucker,WR,LV,BUF,10,0.2,0.02,4 out of 5 stars,F
Latavius Murray,RB,BUF,LV,14,4.3,0.3071,4 out of 5 stars,F
Stefon Diggs,WR,BUF,LV,29,18.1,0.6241,4 out of 5 stars,A+
Josh Allen,QB,BUF,LV,39,24,0.6154,5 out of 5 stars,A
Kyle Allen,QB,BUF,LV,20,0.2,0.01,5 out of 5 stars,F
Trent Sherfield,WR,BUF,LV,10,3.7,0.37,4 out of 5 stars,F
Damien Harris,RB,BUF,LV,16,5.9,0.3688,4 out of 5 stars,F
Dawson Knox,TE,BUF,LV,14,6.9,0.4929,4 out of 5 stars,F
Deonte Harty,WR,BUF,LV,10,3.5,0.35,4 out of 5 stars,F
Gabe Davis,WR,BUF,LV,18,11.1,0.6167,4 out of 5 stars,C
Reggie Gilliam,RB,BUF,LV,10,0.7,0.07,4 out of 5 stars,F
Quintin Morris,TE,BUF,LV,10,0.9,0.09,4 out of 5 stars,F
James Cook,RB,BUF,LV,21,13.4,0.6381,4 out of 5 stars,B+
Khalil Shakir,WR,BUF,LV,10,2.4,0.24,4 out of 5 stars,F
Las Vegas Raiders,DEF,LV,BUF,10,4.8,0.48,3 out of 5 stars,F
Buffalo Bills,DEF,BUF,LV,18,7.6,0.4222,3 out of 5 stars,B
Dalton Kincaid,TE,BUF,LV,12,8.9,0.7417,4 out of 5 stars,C-
Kristian Wilkerson,WR,LV,BUF,10,0.8,0.08,4 out of 5 stars,F
Michael Mayer,TE,LV,BUF,10,4.5,0.45,2 out of 5 stars,F
Geno Smith,QB,SEA,DET,31,17.1,0.5516,4 out of 5 stars,C
Tyler Lockett,WR,SEA,DET,23,13.3,0.5783,3 out of 5 stars,B+
Will Dissly,TE,SEA,DET,11,3.5,0.3182,4 out of 5 stars,F
Noah Fant,TE,SEA,DET,12,5.3,0.4417,4 out of 5 stars,F
Drew Lock,QB,SEA,DET,23,0.4,0.0174,4 out of 5 stars,F
DK Metcalf,WR,SEA,DET,23,14.8,0.6435,3 out of 5 stars,A
Cody Thompson,WR,SEA,DET,10,0.2,0.02,3 out of 5 stars,F
Colby Parkinson,TE,SEA,DET,10,2.9,0.29,4 out of 5 stars,F
DeeJay Dallas,RB,SEA,DET,10,3,0.3,4 out of 5 stars,F
Kenneth Walker III,RB,SEA,DET,22,14.6,0.6636,4 out of 5 stars,A-
Jake Bobo,WR,SEA,DET,10,0.6,0.06,3 out of 5 stars,F
Jared Goff,QB,DET,SEA,28,18,0.6429,3 out of 5 stars,B-
Kalif Raymond,WR,DET,SEA,10,3,0.3,3 out of 5 stars,F
Josh Reynolds,WR,DET,SEA,12,7.3,0.6083,3 out of 5 stars,F
David Montgomery,RB,DET,SEA,23,13.8,0.6,4 out of 5 stars,B+
Brock Wright,TE,DET,SEA,10,2.3,0.23,3 out of 5 stars,F
James Mitchell,TE,DET,SEA,10,1.2,0.12,3 out of 5 stars,F
Seattle Seahawks,DEF,SEA,DET,13,6.1,0.4692,1 out of 5 stars,D
Detroit Lions,DEF,DET,SEA,10,6,0.6,3 out of 5 stars,D-
Antoine Green,WR,DET,SEA,10,0.3,0.03,3 out of 5 stars,F
Sam LaPorta,TE,DET,SEA,16,9.2,0.575,3 out of 5 stars,C
Jahmyr Gibbs,RB,DET,SEA,20,13.7,0.685,4 out of 5 stars,B+
Zach Charbonnet,RB,SEA,DET,16,6.8,0.425,4 out of 5 stars,D-
Teddy Bridgewater,QB,DET,SEA,20,0.4,0.02,3 out of 5 stars,F
Craig Reynolds,RB,DET,SEA,10,0.4,0.04,4 out of 5 stars,F
Robert Tonyan,TE,CHI,TB,10,1.9,0.19,3 out of 5 stars,F
