"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"48","Josh Downs",IND,"3 out of 5 stars","3 out of 5 stars","97.9","+42"
"49","Rashee Rice",KC,"3 out of 5 stars","3 out of 5 stars","96.8","+19"
"51","Elijah Moore",CLE,"3 out of 5 stars","4 out of 5 stars","96.8","0"
"53","Jayden Reed",GB,"3 out of 5 stars","3 out of 5 stars","96.8","+21"
"43","Jerry Jeudy",DEN,"4 out of 5 stars","4 out of 5 stars","96.0","-14"
"58","Marvin Mims Jr.",DEN,"4 out of 5 stars","4 out of 5 stars","92.4","+12"
"47","Michael Thomas",NO,"2 out of 5 stars","2 out of 5 stars","92.0","-5"
"61","Michael Wilson",ARI,"2 out of 5 stars","3 out of 5 stars","90.2","+54"
"62","Jameson Williams",DET,"3 out of 5 stars","3 out of 5 stars","89.1","-7"
"50","Tutu Atwell",LAR,"2 out of 5 stars","3 out of 5 stars","88.0","-"
"52","Zay Jones",JAC,"3 out of 5 stars","3 out of 5 stars","88.0","+8"
"54","Rashid Shaheed",NO,"2 out of 5 stars","2 out of 5 stars","86.0","+33"
"55","Kendrick Bourne",NE,"4 out of 5 stars","4 out of 5 stars","86.0","-"
"56","K.J. Osborn",MIN,"3 out of 5 stars","3 out of 5 stars","86.0","+8"
"64","Tyler Boyd",CIN,"4 out of 5 stars","3 out of 5 stars","85.8","-8"
"65","Quentin Johnston",LAC,"4 out of 5 stars","4 out of 5 stars","85.8","-16"
"66","Brandin Cooks",DAL,"3 out of 5 stars","4 out of 5 stars","84.7","-28"
"57","Josh Reynolds",DET,"3 out of 5 stars","3 out of 5 stars","84.0","-"
"67","Robert Woods",HOU,"4 out of 5 stars","4 out of 5 stars","83.6","+18"
"59","Jahan Dotson",WAS,"2 out of 5 stars","3 out of 5 stars","83.0","-24"
"60","Curtis Samuel",WAS,"2 out of 5 stars","3 out of 5 stars","82.0","+15"
"69","DJ Chark Jr.",CAR,"3 out of 5 stars","2 out of 5 stars","81.4","-4"
"70","Jonathan Mingo",CAR,"3 out of 5 stars","2 out of 5 stars","80.3","-8"
"71","Michael Gallup",DAL,"3 out of 5 stars","4 out of 5 stars","80.3","-8"
"63","Wan'Dale Robinson",NYG,"2 out of 5 stars","2 out of 5 stars","80.0","+35"
"68","Odell Beckham Jr.",BAL,"2 out of 5 stars","3 out of 5 stars","76.0","-27"
"73","Treylon Burks",TEN,"3 out of 5 stars","3 out of 5 stars","74.8","-27"
"77","Jalin Hyatt",NYG,"2 out of 5 stars","2 out of 5 stars","71.5","-20"
"72","Darius Slayton",NYG,"2 out of 5 stars","2 out of 5 stars","71.0","+10"
"79","Allen Lazard",NYJ,"3 out of 5 stars","2 out of 5 stars","70.4","-27"
"74","Kadarius Toney",KC,"3 out of 5 stars","3 out of 5 stars","66.0","-29"
"75","Skyy Moore",KC,"3 out of 5 stars","3 out of 5 stars","66.0","-27"
"85","Donovan Peoples-Jones",CLE,"3 out of 5 stars","4 out of 5 stars","66.0","-16"
"87","Demario Douglas",NE,"4 out of 5 stars","4 out of 5 stars","66.0","-"
"76","Darnell Mooney",CHI,"4 out of 5 stars","2 out of 5 stars","65.0","-17"
"78","DeVante Parker",NE,"4 out of 5 stars","4 out of 5 stars","64.0","+1"
"80","Rondale Moore",ARI,"2 out of 5 stars","3 out of 5 stars","63.0","-14"
"81","JuJu Smith-Schuster",NE,"4 out of 5 stars","4 out of 5 stars","62.0","-37"
"82","Isaiah Hodgins",NYG,"2 out of 5 stars","2 out of 5 stars","62.0","-6"
"83","Marquez Valdes-Scantling",KC,"3 out of 5 stars","3 out of 5 stars","61.0","-16"
"84","Rashod Bateman",BAL,"2 out of 5 stars","3 out of 5 stars","61.0","-30"
"86","Alec Pierce",IND,"3 out of 5 stars","3 out of 5 stars","60.0","-5"
"90","Allen Robinson II",PIT,"3 out of 5 stars","3 out of 5 stars","59.4","+19"
"88","Kalif Raymond",DET,"3 out of 5 stars","3 out of 5 stars","58.0","-"
"89","Van Jefferson",ATL,"5 out of 5 stars","4 out of 5 stars","58.0","-12"
"93","Calvin Austin III",PIT,"3 out of 5 stars","3 out of 5 stars","57.2","-4"
"91","Hunter Renfrow",LV,"3 out of 5 stars","4 out of 5 stars","54.0","-20"
